poseIndex,p,q,r,s,t,u,p_noise,q_noise,r_noise,s_noise,t_noise,u_noise
0,9.550161286658431,9.970528497681153,8.734052236598895,2.9066125826555824,2.456486046121056,0.26033946001376096,9.578694912793283,10.094018091255384,8.842558013615804,3.0942494028002527,2.315575065901671,0.34689405941177565
1,4.521353509252651,1.889358188728375,7.167066145565977,8.27239013945034,4.859430224229103,8.477719786654344,4.834700886402041,2.3481267753614157,7.357517738966571,8.45641359973692,4.681858238254941,8.393987862334642
2,6.108817759512495,3.8619915303123555,0.4237521878363626,5.373629880161066,6.344914342877286,5.4378743550480015,6.474952271057467,4.125584933187253,0.5975870933390317,5.648593506079297,6.58311141608869,5.2950415610709305
3,5.769076926333044,4.0308334990118935,3.0198539359140186,1.7209762324587197,6.758027349308819,5.884607355329363,5.80695133482268,4.2990152341584205,3.1903787862164315,1.5177296562529496,6.887189939976472,5.709442391370698
4,6.067732349109319,5.589299048271375,5.070807787753438,8.98602772426627,2.6637047732751187,9.983192742461158,6.15852102472131,5.5254593988462375,4.985540718599323,8.801209754403434,2.8599791697159493,9.971747280376766
5,9.134140237513485,5.209471977021083,7.061750151613122,4.345167226998424,3.1602102232720264,9.926447419002447,9.028144950857795,5.040055551797206,7.093285287867539,4.320621185950767,3.0502218792166023,10.07693768295297
6,5.244992617903815,0.9569381677057465,7.548806468540173,7.943395702094854,4.197993115712225,9.222438230954365,5.288430514954901,1.0910124403438852,7.512702036229204,7.765227421604326,3.94430241450274,9.306978225523865
7,9.154762967872523,6.691712270000153,0.3936116071504514,0.3514206776235229,1.4932290831035555,9.148098000251725,9.093229677969582,6.641901746944897,0.4029651250519725,0.34774674069868816,1.5290370872885732,9.203815111283937
8,2.5742986325961525,4.065597836226197,5.48229350930896,3.865847544999675,9.211635229777105,0.996738914991413,2.4621102986054924,4.009306779225859,5.465519798501646,3.744351490562512,9.493779792904887,1.0054187335626164
9,8.94636485670428,2.829953269066081,6.454179089757625,5.680494889029635,8.20829459550749,6.942647480496335,9.071862278060287,2.7381277088848375,6.461101752329385,5.574990279672947,8.094006551149613,7.055592586116504
10,7.619997185597741,9.418063497683493,7.742159061735521,7.150710625066955,7.922767472339974,5.817912566040425,7.587768496960739,9.566723816475404,7.7954313860788105,7.122746903648287,7.849515058948514,5.649822131796687
11,3.529684440957758,4.291208552931215,8.08874924221981,7.463209042891661,7.28226181219521,4.865378321807626,3.4469760247040453,4.376312745243543,7.94704348675614,7.437169744131815,7.361599978320857,4.975653255589199
12,5.984633471185798,3.957524734009501,7.5180322899828305,4.716974966506705,1.1177055929713964,1.5334274670846837,6.130390546570656,3.9516976540871718,7.630184925479402,4.567264253417286,1.1308625491366755,1.2574393105447121
13,6.110670807260879,5.681042399898414,7.506942291909967,7.337639952723026,4.147941188960912,9.562275244997458,6.02683804311144,5.6893366457130075,7.511184280375742,7.263956575639436,4.329401341417941,9.5026635467311
14,0.2942797420877963,2.531810047405656,3.979964468329623,1.766778639557629,9.945585201337998,2.468919765281925,0.1398749420420962,2.3920420556643447,4.250238655621773,1.869230489022593,9.787417721904557,2.271307556878944
15,1.2760192552153515,7.983389677862047,6.325618265052965,1.2677112275879499,4.857744575685698,3.4905470370619596,1.2033459913911013,7.867407943295837,6.346552079384672,1.1948422456752639,4.68686306376114,3.387862875909029
16,1.0003595617237626,9.9777447864199,3.5039750085933674,7.651309726921819,2.4646905018976883,0.09547573522876163,1.083856889083145,9.870485632278555,3.452040686351832,7.754850525943542,2.357001599363613,0.20529828054519644
17,6.081685672816446,7.383956425071462,1.0709422443739802,7.603783135749994,4.610794286124202,1.571155449344288,6.056929642226109,7.2619851417091965,1.1094049607965335,7.586980283791851,4.769293512229076,1.5894572006240872
18,3.28202306249761,4.765660042727066,0.5229398323962309,5.2912583452641115,0.9459303540752284,3.8282397848203,2.904495545566798,4.530844614079716,0.4704069714984361,5.181095277977706,0.9926330845977268,3.756066857415353
19,2.2589487480265147,5.214215533984769,0.404883275117226,7.791292056848621,6.755342396509593,0.021686915146928998,2.191126476608769,5.214254483100817,0.10488126870576037,7.74360527499234,6.73011634711027,0.2656762935056281
20,5.302974459032185,6.596717072562556,3.136917198856172,3.0596770579980803,1.2225737575853002,4.892392213290489,5.323193599635281,6.294338409900274,3.2438800239033605,3.457557783790911,1.109933317607508,4.764445398721232
21,8.894183326547056,6.009833781170957,3.8068145190057034,9.13922902563339,6.832817805123358,9.268510399896506,8.707587248436727,5.9545914093521635,4.081906422732743,9.091940297091863,6.819360008564212,9.180163018280396
22,9.732439959479253,5.134808382421875,9.093202863915815,0.29502138975343817,4.884689275065646,6.958920420023086,9.934108526919552,4.978335232429597,8.766953371503407,0.688137884310763,4.847812703266808,6.850385572843418
23,5.517479044794312,7.340952382687819,5.8907527342018815,8.723881238673886,6.737822733745329,8.019285202741061,5.352190052090271,7.26204471450391,5.765184019690765,9.009689958315375,6.575367210585199,8.207484297382816
24,0.5425401875601188,1.0367804949869008,1.4895797576845993,8.342323373214414,5.672965571461207,3.9234018462808695,0.5845454882064334,1.0011334644834418,1.7451093053074322,8.572388067605305,5.609941953723193,3.835416977562036
25,1.2316641423371355,6.423265361391764,2.6103572230740832,0.33881565615985654,5.731482529822896,8.266383765120391,1.3356294678110574,6.450349556309719,3.1119468910391683,0.5944800804656141,5.921499791209826,8.15498352808089
26,8.281298851783951,9.072721526096068,3.9513616586510536,3.9571467944387484,2.5523110959166715,5.464208994211033,8.430239579823956,9.095908895726339,4.130958174228567,4.012807542273636,2.4621374621860554,5.430172894724392
27,2.3088875458195757,2.8255640888958555,4.569082988968106,3.4193896055241813,2.513216035167577,2.0650644533079534,2.062511810747228,2.7806435370162124,4.770718961900799,3.4941534267494347,2.70184590316908,2.2671456035667816
28,9.164714076362998,9.285237633482128,1.2104459400478396,3.2229277548701143,5.057653470653497,1.2283563263820874,9.158631684561131,9.359260145036085,1.2566947145048422,3.1446586742339218,5.164731092865059,1.2814560955700425
29,5.943943471983769,7.380454350012318,8.057785365746323,8.329315416026997,3.3633732298339227,5.429092996268875,5.980121053599499,7.466074625380625,7.933286456688247,8.39150567001546,3.616766079418834,5.25583636116259
30,2.8771564043019104,6.809961958575975,6.174784948459369,0.15790732043110656,6.059591024603346,2.2455680645877543,2.8565237450546146,6.730837106400977,6.207044796659475,0.30288369078700966,6.025115059639018,2.3336934638006372
31,8.723021099358256,3.8976107709379937,7.8528854035343425,9.88504878322214,9.94537504216549,9.064536320799835,8.895804279941776,4.254684092323903,7.602587058432745,9.863332105801833,10.325935157424931,8.97870657184655
32,2.932517352122469,9.68336153657429,4.166478729065728,1.9936020028509027,2.890104036437263,5.359681377132219,2.982953695856079,9.734613231184715,4.217466163717169,2.086997891246696,2.9165644690557513,5.184468735806685
33,2.972374127312497,1.3994866128351646,1.660054706057743,9.704705971351611,9.01502007529098,7.6943322687579085,2.946294208904328,1.4697017603481835,2.0219382029867465,9.758472949307194,9.02965726521464,7.593284791704024
34,8.164790471857586,9.757220155723957,7.073475467175426,7.21207376430219,1.6333001346702702,2.493305686772737,8.320589078100662,9.805616066080804,7.192988075866695,7.270094241292993,1.7262821327040772,2.639194801819465
35,8.213098789344153,9.105568117406188,3.0341569318442394,8.505228110269227,4.896103929307221,4.740300884167132,8.031073412418406,9.143920431133147,2.9096337076068908,8.468946023757125,4.876881744077782,4.704086395781774
36,0.186945264244871,2.9990039492415264,8.502101776131388,3.6145879741368048,3.817900553553637,0.6573659190863135,0.2000036283539467,3.0729855428810957,8.53446080583708,3.9161739034501917,4.126763947050793,0.6919285921274053
37,9.356125596043942,5.720397128454524,4.688935582770171,4.5628023010611845,1.6701759436901475,8.866548740707925,9.291127372383828,5.676055791502749,4.893061266198834,4.530241752293458,1.527550082628257,8.813198204187838
38,0.35626208129874715,8.495133727742756,7.364840365496747,5.455384908809976,6.6512887057009005,9.149695600752741,0.17738712397340492,8.425450091759899,7.298610949428124,5.2740136690333,6.698394558122627,9.160946654858517
39,5.636426799454246,0.8983411866488145,4.7709975254926,7.631548017405958,6.628375166166837,1.2656419841264777,5.88204667628148,1.0446617850401767,4.444939091664622,7.774625080528801,6.705587776457624,1.2540627615438804
